jurisdiction,front_rule,address,apn,futurelot_apn,apn_match_futurelot,zone,same_lot,lot_shape_mismatch,area_ratio,engine_front_street,engine_front_count,futurelot_front_count,futurelot_label_on_engine_front,verdict,roads_collapsed_frontage,edge_tag_agreement,lot_flags
Lafayette,designated,"680  GLENSIDE DR, Lafayette, CA",238102008,2381020086,True,R-10,True,False,0.903,glenside dr,1,2,"[""front""]",futurelot_extra_front,False,4/6,"[""front_requires_review""]"
Moraga,designated,"838  CAMINO RICARDO, Moraga, CA",255404003,2554040036,True,3-DUA,True,False,0.998,camino ricardo,1,2,"[""front""]",futurelot_extra_front,False,4/6,"[""front_requires_review""]"
Orinda,shortest_frontage,"9  NORTHWOOD DR, Orinda, CA",268163002,2681630022,True,RL-20,True,False,1.001,northwood ct,1,2,"[""front""]",futurelot_extra_front,False,1/5,[]
Fairfax,shortest_frontage,"73 SCENIC RD, Fairfax, CA",00112226,00112226,True,RD-5.5-7,True,True,1.26,manor rd,1,3,"[""front""]",futurelot_extra_front,False,1/5,[]
Mill Valley,designated,"329 ETHEL AVE, Mill Valley, CA",02818111,02818111,True,RS-6,True,False,0.995,ethel ave,1,0,"[""side""]",no_front,True,0/3,[]
Sausalito,owner_elected,"299 GLEN DR, Sausalito, CA",06421307,06421307,True,R-1-6,True,False,1.083,glen dr,1,1,"[""front""]",agree,False,3/4,[]
Napa,shortest_frontage,"1795 LAUREL ST, Napa, CA",005021001000,005021001000,True,RT 5,True,False,1.003,laurel st,1,2,"[""front""]",futurelot_extra_front,False,3/4,[]
Atherton,address_street,"256 PRIOR LN, Atherton, CA",061330140,061330140,True,R-1A,True,False,1.0,prior ln,1,2,"[""front""]",futurelot_extra_front,False,4/6,[]
Hillsborough,all_fronts,"5 HOMEPLACE CT, Hillsborough, CA",031382050,031382050,True,R,True,False,1.004,homeplace ct,2,2,"[""front""]",agree,False,3/4,"[""second_front_jurisdiction""]"
Menlo Park,owner_elected,"385 OAK GROVE AVE, Menlo Park, CA",061383160,061383160,True,R3,True,False,1.001,oak grove ave,1,2,"[""front""]",futurelot_extra_front,False,3/4,[]
