jurisdiction,county,zoneomics_city_name,zoneomics_city_id,zoneomics_last_updated,sample_zone_code_at_query_point,ordinance_link,code_platform,adu_setback_side_rear,adu_max_height,adu_max_size_far,adu_more_permissive_than_state,adu_permissive_summary,adu_source
Lafayette,Contra Costa,Lafayette,2653,2026-07-21,MRA,https://library.municode.com/ca/lafayette/codes/code_of_ordinances?nodeId=TIT6PLLAUS,Municode,4 ft side/rear all detached ADU classes (LMC 6-564 to 6-566),"Detached 16 ft (17 ft Class C; 18 ft near transit; up to 20 ft with roof pitch match); attached 25 ft or zone limit, max 2 stories","Class A streamlined 800 sf; Class C up to 1,200 sf; FAR/coverage still applies to Class C in some zones",partial,"Exceeds state size minimums by allowing Class C ADUs up to 1,200 sf (vs 1,000 for 2+BR); setbacks and heights otherwise mirror state baseline.",https://www.lovelafayette.org/home/showpublisheddocument/3913/638809279526870000
Moraga,Contra Costa,Moraga,3985,2026-07-09,MCSP-C,https://www.zoneomics.com/code/moraga-CA,Zoneomics code viewer,4 ft rear/side/exterior-side detached ADUs (MMC 8.124),16 ft streamlined and multifamily-lot detached; 19 ft (one story) under standard review,"800 sf streamlined; 850 sf studio/1BR and 1,000 sf 2+BR under standard review; JADU 500 sf",partial,Allows detached ADUs up to 19 ft under its standard review path (above the 16 ft state floor); sizes and setbacks mirror state minimums.,https://www.moraga.ca.us/524/Accessory-Dwelling-Units-ADUs
Orinda,Contra Costa,Orinda,3361,2026-07-09,RL-20,https://www.zoneomics.com/code/orinda-CA,Zoneomics code viewer,4 ft side/rear new detached; 0 ft conversions,"Detached 16 ft (18 ft near transit, +2 ft roof pitch); above-garage ADUs within the primary dwelling's setback envelope may go to the primary dwelling height limit (OMC 17.3.4); attached 25 ft","850 adjusted sf studio/1BR; 1,000 adjusted sf 2+BR; no 1,200 sf allowance in code text",partial,"Slightly exceeds state baseline only for above-garage ADUs, which may reach the primary dwelling height limit inside the primary setback envelope; sizes and setbacks mirror state minimums.",https://library.municode.com/ca/orinda/codes/code_of_ordinances?nodeId=TIT17ZO_CH17.3REDIBAUSRE_17.3.4ACDWUNAD
Fairfax,Marin,Fairfax,1498,2026-08-09,CH,https://www.zoneomics.com/code/fairfax-CA,Zoneomics code viewer,4 ft side/rear detached (Class 1 and 2); 10 ft front for Class 2 (TC 17.048.010),"Detached 16 ft (18 ft near transit; up to 20 ft with roof pitch match); attached 25 ft or zone limit, max 2 stories","Class 2: 850 sf studio/1BR and 1,200 sf 2+BR; attached capped at 50% of primary; total FAR 40% / coverage 50% above the 800 sf exemption",partial,"Exceeds state size minimums by allowing 1,200 sf for 2+BR ADUs (vs 1,000); setbacks and heights mirror the state baseline.",https://codelibrary.amlegal.com/codes/fairfax/latest/fairfax_ca/0-0-0-24808
Mill Valley,Marin,Mill Valley,1508,2026-08-09,C-D,https://www.zoneomics.com/code/mill-valley-CA,Zoneomics code viewer,Max 4 ft side/rear detached; 0 ft conversions within existing structures (MMC 20.90),Detached 16 ft; above-garage ADUs up to 25 ft combined garage+ADU height,"850 sf studio/1BR; 1,000 sf 2+BR; internal conversions up to 1,200 sf; ministerial ADUs exempt from lot coverage",partial,"Exceeds state baseline via 25-ft above-garage ADUs, 1,200 sf internal-conversion ADUs, and lot-coverage exemption for all ministerial ADUs (not just 800 sf).",https://ecode360.com/44319622
Sausalito,Marin,Sausalito,1526,2026-08-09,CR,https://www.zoneomics.com/code/sausalito-CA,Zoneomics code viewer,4 ft side/rear new detached; none for conversions (SMC 10.44.080),Detached 16 ft; above a garage combined max 25 ft; attached up to 25 ft,"Local code states 800 sf max (preempted by state 850/1,000 minimums); no local FAR exemption beyond state 800 sf rule",partial,More permissive only on above-garage/attached height (25 ft vs 16-18 ft floor); local 800 sf size cap is BELOW state minimums and is preempted by state law.,https://www.sausalito.gov/departments/community-development/housing-resources/housing-resources
Napa,Napa,Napa,1933,2026-07-09,RS-5,https://www.zoneomics.com/code/napa-CA,Zoneomics code viewer,4 ft side/rear new detached; 0 ft conversions except fire safety (NMC 17.52.075),"Per Gov Code 66321(b)(4) baseline (16-18 ft), max two stories; no height limit on JADUs","Detached max 1,200 sf; attached 50% of primary or 800 sf min; coverage limits yield where they would block an 800 sf ADU",partial,"Exceeds state minimums on size: detached ADUs up to 1,200 sf vs the 850/1,000 sf floor; setbacks and height mirror state minimums.",https://ecode360.com/43397584
Atherton,San Mateo,Atherton,1485,2026-08-09,R-1B,https://atherton.municipal.codes/Code/17,Municipal.codes (OpenGov),4 ft side/rear for ADUs <=800 sf; larger ADUs must meet standard accessory-building setbacks (Ch. 17.40),Detached 16 ft (18 ft near transit); attached 25 ft or zone limit; max two stories excluding basements,"New-construction ADUs up to 1,200 sf (800 sf if relying on 4-ft setbacks); attached capped at 50% of main residence unless needed for 800 sf",partial,"More permissive on size only: up to 1,200 sf vs the 1,000 sf state minimum (with larger setbacks required above 800 sf).",https://atherton.municipal.codes/Code/17.52.040
Hillsborough,San Mateo,Hillsborough,3892,2026-08-15,RD-1,https://library.municode.com/ca/hillsborough/codes/code_of_ordinances?nodeId=TIT17ZO,Municode,4 ft side/rear new detached; 0 ft conversions,Detached 16 ft (18 ft near transit); attached up to 25 ft or primary dwelling height,"800 sf by right; 850 sf studio/1BR and 1,000 sf 2+BR with planning permit; FAR/coverage may limit ADUs above 800 sf",no,"Mirrors state minimums; HCD's 2024 review found the ordinance noncompliant with state law in 11 respects, so it trends restrictive rather than permissive.",https://www.hcd.ca.gov/sites/default/files/docs/policy-and-research/ordinance-review-letters/hillsborough-adu-findings-053024.pdf
Menlo Park,San Mateo,Menlo Park,1507,2026-07-09,RE,https://www.codepublishing.com/CA/MenloPark/html/MenloPark16/MenloPark16.html,Code Publishing,4 ft side/rear detached ADUs,"Detached 16 ft (18 ft near transit/multistory MF lot, +2 ft roof pitch); attached 25 ft or zone limit","850 sf (<=1BR) / 1,000 sf (2+BR); internal ADUs max 1,000 sf; FAR/coverage cannot preclude an 800 sf ADU",no,Mirrors state minimums; no local ADU standard exceeds the Gov. Code 66314/66323 baseline.,https://ecode360.com/47187943
Portola Valley,San Mateo,Portola Valley,1515,2026-07-09,R-E/3.5A/SD-2/D-R,https://library.municode.com/ca/portola_valley/codes/code_of_ordinances?nodeId=TIT18ZO,Municode,4 ft side/rear new detached ADUs,Detached generally 16 ft single-story (HCD has flagged parts as under state minimums); attached up to 25 ft,"Detached up to 1,200 sf; internal/conversion ADUs up to 1,700 sf; 800 sf/16 ft ADU allowed even if exceeding AMFA; larger ADUs count toward AMFA",partial,"More permissive on size only: 1,200 sf detached and up to 1,700 sf internal ADUs vs the 1,000 sf state minimum; height/setbacks at (or per HCD below) state minimums.",https://www.hcd.ca.gov/sites/default/files/docs/policy-and-research/ordinance-review-letters/portola-valley-adu-080423.pdf
San Carlos,San Mateo,San Carlos,1520,2026-07-09,MU-DC-100,https://zoneomics.com/code/san-carlos-CA,Zoneomics code viewer,4 ft side/rear detached; 0 ft conversions/same-footprint rebuilds (SCMC 18.23.210),Detached 18 ft by right (+2 ft roof pitch match; 20 ft above detached garage); attached up to 25 ft,No bedroom-based cap - 50% of primary dwelling and zone max floor area govern; 800 sf exempt from zone MFA and lot coverage,partial,"More permissive on height (18 ft standard detached vs 16 ft state floor; 20 ft above garage) and size can exceed 1,000 sf on larger lots since only FAR/50%-of-primary governs.",https://www.codepublishing.com/CA/SanCarlos/html/SanCarlos18/SanCarlos1823.html
San Mateo,San Mateo,San Mateo,1522,2026-07-09,CBD,https://law.cityofsanmateo.org/us/ca/cities/san-mateo/code/27,City-hosted,4 ft side/rear new ADUs; 0 ft for conversions AND for detached ADUs in rear one-third of lot meeting accessory-building rules (SMMC 27.19.060),"Detached 18 ft plate / 24 ft peak, two-story permissible; attached 24 ft plate / 32 ft peak",No numeric cap - ADU may be as large as the primary dwelling within zone FAR; 800 sf of ADU area FAR-exempt,yes,"Exceeds state minimums on all three: 0-ft setbacks for rear-third detached ADUs, 24-ft-peak two-story detached ADUs by right, and no fixed size cap (zone FAR governs).",https://law.cityofsanmateo.org/us/ca/cities/san-mateo/code/27.19.060
San Mateo County (unincorporated),San Mateo,San Mateo County Unincorporated,3893,2026-08-15,R-1/S-73,https://www.zoneomics.com/code/san-mateo-county-unincorporated-CA,Zoneomics code viewer,4 ft side/rear new detached; portions above 16 ft must step back 5 ft side / 10 ft rear (Sec 8.392.050),Up to 26 ft (two-story allowed) with daylight-plane/stepback provisions; state-exempt track 16 ft (18+2 near transit),"Detached: greater of 800 sf or 35% of primary living area, max 1,500 sf; attached: greater of 800 sf or 50%, max 1,500 sf",yes,"Exceeds state minimums on height (26 ft two-story ADUs with stepbacks vs 16-18 ft floor) and size (up to 1,500 sf vs 1,000 sf minimum).",https://www.smcgov.org/media/137136/download?inline
Los Altos,Santa Clara,Los Altos,1505,2026-07-21,R1-10,https://library.municode.com/ca/los_altos/codes/code_of_ordinances?nodeId=TIT14ZO,Municode,4 ft side/rear new detached; 0 ft conversions,Detached one story 16 ft; attached up to greater of 16 ft or zone height limit (two-story attached possible),"850 sf 1BR; up to 1,200 sf multi-bedroom if lot meets FAR/coverage; 850 sf allowed regardless of FAR; attached max 50% of primary",partial,"Exceeds state size minimum by allowing multi-bedroom ADUs up to 1,200 sf (vs 1,000) where lot FAR/coverage allows; setbacks and detached height mirror state minimums.",https://library.municode.com/ca/los_altos/codes/code_of_ordinances?nodeId=TIT14ZO
